title,upload_time,uploader,view_count
Nancy Pelosi Applauds Trump At State Of The Union Address And Instantly Becomes A Meme,2019-02-06T08:55:42Z,UC2a35q7eyzkfoIusBzdH4Hw,21111
Pelosi: “We Cannot Accept A 2nd Term For Donald Trump”,2019-05-07T15:43:17Z,UCvQ2kejN6UkrEVhE5oiYwBw,34999
Trump&#39;s Mexico Tariff Ignores the Reality of Migration,2019-06-06T10:49:48Z,UCrmm_7RDZJeQzq2-wvmjueg,2353
Fake News: A Trump Story,2019-06-23T12:00:03Z,UCAEo-C2QfqrM37IfVNH09xA, 
Willie Geist Confronts Rep. Castro For Tweet Targeting Trump Donors,2019-08-07T13:48:44Z,UCvQ2kejN6UkrEVhE5oiYwBw,18626
ADL CEO Jonathan Greenblatt on President Trump&#39;s &quot;Disloyalty&quot; Tweet,2019-08-21T14:54:48Z,UCfVotMGyD7sVMomr2AzsBtQ,2299
Trump&#39;s Withdrawal From Syria: Betrayal of Kurds or End to Endless War?,2019-10-09T11:43:13Z,UCrmm_7RDZJeQzq2-wvmjueg,7908
Trump Impeachment: A Misguided Move?,2019-12-11T12:49:33Z,UCrmm_7RDZJeQzq2-wvmjueg,7962
Trump - Climate,2020-01-21T11:28:25Z,UCrMRlTZuoPDgmsKYff454Cw,1357
"Bolton, Bolton, Bolton (Trump&#39;s Fried)",2020-01-28T06:51:10Z,UCSB-tl1Xbo8jtq8q45N7STQ,2658
"CORONAVIRUS y DESAFÍO: TRUMP, EEUU, RUSIA, PUTIN, CHINA, IRAN, DEBEN VER ESTE PROGRAMA",2020-02-01T01:00:19Z,UCj9B-Wqw0Xm6mZqtd9z7Haw,60239
ABC NEWS SPECIAL REPORT: Pres.-elect Biden and VP-elect Harris deliver remarks on economy,2020-02-12T00:32:37Z,UCBi2mrWuNuyYy4gbM6fU18Q,129276181
Trump’s Statements About the Coronavirus,2020-03-19T14:21:20Z,UCc_VNUgjPdpaQdoHRVcCRYQ,37421
"Press Conference: Donald Trump Holds the Daily Coronavirus Pandemic Briefing - April 23, 2020",2020-04-23T23:22:12Z,UCKrHcU-xnrRl_YbhrDwe7sA,3986
Trump makes things worse by contradicting medical experts like Fauci,2020-05-20T15:14:39Z,UCZ6cvgUg_pL-HdsV8yFig1Q,313910
Rosenstein Agrees There Was No Evidence That Trump Campaign Was Colluding W/ The Russians In 2017,2020-06-03T14:57:46Z,UCvQ2kejN6UkrEVhE5oiYwBw,5214
Trump Says John Bolton Could Face Criminal Liability For His Book,2020-06-16T01:05:27Z,UCJmSX7ghommK3pwMLGNUvPA,1444
Trump to sign police reform executive order on Tuesday,2020-06-16T01:25:17Z,UCJmSX7ghommK3pwMLGNUvPA,3823
Peter from Virginia knows Trump&#39;s narcissism is dangerous,2020-06-16T20:30:30Z,UC03-Q9vq-JyiStTnqasADVg,5691
Robert is a staunch conservative from Nebraska who knows Donald Trump only cares about himself,2020-06-19T14:10:18Z,UC03-Q9vq-JyiStTnqasADVg,2734
"Honduras, Trump and the Gangs",2020-07-07T21:47:49Z,UCQ-riwFr0v9Vb7XSZLntZUw, 
DeMarcus Cousins Presents Boogie&#39;s Comedy Slam,2020-07-09T04:00:10Z,UCXRb5JGqhBzi_fGKO9qW-3g, 
&#39;Many exciting things&#39;: Trump lays out 2nd term agenda in stunning detail,2020-07-17T20:40:06Z,UC1Z1i5ClfrJhyu9z1hlmDkQ,9730
AXIOS on HBO: President Trump Exclusive Interview (Full Episode) | HBO,2020-08-04T03:57:59Z,UCVTQuK2CaWaTgSsoNkn5AiQ,14208219
"#BackTheBlue Rally on &quot;Q&quot;, Dr Fauci, Masks and Trump&#39;s Holy Bible  QAnon Believer 8/9/20",2020-08-10T21:24:30Z,UCircU4cTSwJ6yOxb4bk0Edw,5744
Little Miss Westie,2020-08-18T04:02:02Z,UCK4f-LTnqtcdbSy1oBdKCaA, 
JUST IN: McEnany responds to Trump getting BOOED at Supreme Court,2020-09-24T17:59:12Z,UCPWXiRWZ29zrxPFIQT7eHSA,115838
Trump x Biden: Assista na íntegra o primeiro debate da eleição americana,2020-09-30T03:31:07Z,UCvdwhh_fDyWccR42-rReZLw,470780
Full Presidential Debate: President Trump and Joe Biden | WSJ,2020-09-30T04:29:16Z,UCK7tptUDHh-RYDsdxO1-5QQ,4832461
Trump vuelve a la Casa Blanca. Campaña sin argumentos por ambos lados,2020-10-06T00:18:35Z,UCsT4NSardFSUa0bokXXI6Fg,6011
"Trump Says &quot;Don&#39;t Let It Dominate Your Life,&quot; Returns To The White House Still Infected With Covid",2020-10-06T03:50:01Z,UCMtFAi84ehTSYSE9XoHefig,2634925
Trump’s Notable Quotes On Coronavirus And Masks Before Testing Positive For COVID-19,2020-10-06T12:00:03Z,UC2a35q7eyzkfoIusBzdH4Hw,157
The Truth Is Out About Ivanka Trump&#39;s Husband,2020-10-08T20:00:00Z,UCJ7dtuZhjFSJvb_CZjWJkng,1434752
Trump Card,2020-10-09T04:02:04Z,UCs5p_Sm5VFaTsVoojisBDKQ, 
